Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban	Malala Yousafzai	15.75	TRUE	TRUE	TRUE	"[u""Women's Biography"", u'Labor Leaders, Activists, & Social Reformers', u'Asians & Asian Americans - Biography', u""Women's Biography""]"	"Little, Brown and Company"	10/8/13	352	215	4.5
"Better Homes and Gardens New Cook Book, Sixteenth Edition"	Better Homes and Gardens	21.59	TRUE	TRUE	FALSE	"[u'Cooking Fundamentals & Reference', u'U.S. Cooking']"	Houghton Mifflin Harcourt	9/30/14	660	2	5
Diary of a Mad Diva	Joan Rivers	16.81	TRUE	TRUE	TRUE	"[u'Humor', u'Entertainment Biography', u""Women's Biography"", u'Comedy', u""Women's Biography""]"	Penguin Group (USA)	7/1/14	304	31	3.5
The Untethered Soul: The Journey Beyond Yourself	Michael A. Singer	13.84	TRUE	TRUE	TRUE	[u'New Age & Alternative Beliefs - General & Miscellaneous']	New Harbinger Publications	10/3/07	200	110	4.5
Divergent (Divergent Series #1)	Veronica Roth	10.91	TRUE	TRUE	TRUE	[u'Teen Fiction']	HarperCollins Publishers	9/30/14	576	8734	4.5
Jennifer's Way: My Journey with Celiac Disease--What Doctors Don't Tell You and How You Can Learn to Live Again	Jennifer Esposito	19.66	TRUE	TRUE	FALSE	"[u'Health', u'Film Biographies & Interviews', u'Entertainment Biography', u'Health - Diseases & Disorders']"	Da Capo Press	4/22/14	288	4	5
The Power of Habit: Why We Do What We Do in Life and Business	Charles Duhigg	10.02	TRUE	TRUE	TRUE	"[u'Business Life & Skills', u'Emotional Healing', u'Personal Growth', u'Organizational Behavior']"	Random House Publishing Group	1/7/14	416	250	4
Dragonfly in Amber (Outlander Series #2)	Diana Gabaldon	9.99	TRUE	TRUE	TRUE	"[u'Romance', u'Fiction Subjects']"	Random House Publishing Group	11/28/93	976	1589	4.5
Soldier Dogs: The Untold Story of America's Canine Heroes	Maria Goodavage	5.38	TRUE	TRUE	TRUE	"[u'Pets', u'U.S. Armed Forces - Biography', u'Military Biography', u'Family Memoirs - Biography', u'Dogs', u'United States Armed Forces']"	Penguin Group (USA) Incorporated	3/15/12	304	27	4
The Gods of Guilt (Mickey Haller Series #5)	Michael Connelly	23.8	TRUE	TRUE	TRUE	"[u'Mystery & Crime', u'Fiction Subjects']"	"Little, Brown and Company"	12/2/13	400	200	4
Heaven Is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back	Todd Burpo	9.66	TRUE	FALSE	TRUE	"[u'General & Miscellaneous Religion', u'General Christianity', u'Parapsychology', u'Christian Biography']"	"Nelson, Thomas, Inc."	11/2/10	163	9180	4.5
The Pioneer Woman Cooks: Food from My Frontier	Ree Drummond	18.06	TRUE	TRUE	FALSE	"[u'Americans - Regional Biography', u'U.S. Cooking']"	HarperCollins Publishers	3/13/12	304	69	4
Beautiful Boy: A Father's Journey Through His Son's Addiction	David Sheff	8.65	TRUE	TRUE	TRUE	"[u'Family Issues', u'Family - Assorted Topics', u'Divorce', u'Family Memoirs - Biography', u'Teenagers', u'Patient Narratives', u'Addiction & Recovery']"	Houghton Mifflin Harcourt	1/6/09	336	300	4.5
The Madwoman in the Volvo: My Year of Raging Hormones	Sandra Tsing Loh	18.92	TRUE	TRUE	FALSE	"[u""Women's Biography"", u""Women's Biography"", u""Women's Health""]"	"Norton, W. W. & Company, Inc."	5/5/14	288	3	4
As You Wish: Inconceivable Tales from the Making of The Princess Bride	Cary Elwes	16.26	TRUE	TRUE	TRUE	"[u'Film Genres', u'Film Biographies & Interviews', u'Entertainment Biography', u'Biography Reference']"	Touchstone	10/14/14	272	5	4
As You Wish: Inconceivable Tales from the Making of The Princess Bride	Cary Elwes	16.26	TRUE	TRUE	TRUE	"[u'Film Genres', u'Film Biographies & Interviews', u'Entertainment Biography', u'Biography Reference']"	Touchstone	10/14/14	272	5	4
The Diary of a Young Girl: Anne Frank (The Definitive Edition)	Anne Frank	7.33	TRUE	TRUE	FALSE	"[u'General & Miscellaneous European History', u'Ethnic & Race Relations', u""Women's Biography"", u'Historical Biography', u'Children - History', u'Children - Biography', u'Peoples & Cultures - Biography', u""Women's Biography"", u'Jewish - Biography', u'Jewish History', u'World War II']"	Random House Publishing Group	2/28/97	352	1068	4.5
My Stroke of Insight: A Brain Scientist's Personal Journey	Jill Bolte Taylor	9.19	TRUE	TRUE	TRUE	"[u'Clinical Medicine', u'Patient Narratives']"	Penguin Group (USA)	5/26/09	224	196	4
Eichmann in Jerusalem: A Report on the Banality of Evil	Hannah Arendt	10.46	TRUE	TRUE	TRUE	"[u'General & Miscellaneous Law', u'General & Miscellaneous Philosophy', u'German History', u'Fascism', u'General & Miscellaneous Military History', u'Israel/Palestine - History', u'Jewish History', u'World War II', u'General & Miscellaneous World History', u""Women's Studies"", u'Political Theory & Ideology', u'Europe - Armed Forces - Biography', u'Historical Biography', u'Fiction & Literature Classics', u'American Philosophy']"	Penguin Group (USA)	9/22/06	336	9	4
Zeitoun	Dave Eggers	10.49	TRUE	TRUE	TRUE	"[u'Nature', u'United States History - Southern Region', u'Peoples & Cultures - Biography', u'Natural Disasters']"	Knopf Doubleday Publishing Group	6/15/10	368	320	4
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics	Daniel James Brown	10.49	TRUE	TRUE	TRUE	"[u'Sports & Adventure Biography', u'Sports & Adventure Biography', u'Olympics & Olympic Sports', u'Water Sports']"	Viking Penguin	5/27/14	416	168	4.5
This Is Where I Leave You: A Novel	Jonathan Tropper	10.05	TRUE	TRUE	TRUE	[u'Fiction Subjects']	Penguin Group (USA)	7/6/10	352	355	4
The Bluest Eye	Toni Morrison	8.43	TRUE	TRUE	TRUE	"[u'American Fiction', u'Teen Fiction', u'World Literature', u'Peoples & Cultures - Fiction']"	Knopf Doubleday Publishing Group	5/8/07	224	348	4
The Hardest Peace: Expecting Grace in the Midst of Life's Hard	Kara Tippetts	10.54	TRUE	FALSE	TRUE	"[u'Religious Inspiration', u'Christian Life', u'Patient Narratives', u'Health - Diseases & Disorders']"	"Cook, David C"	10/1/14	192	14	5
Gone Girl (Movie Tie-In Edition)	Gillian Flynn	12.57	TRUE	TRUE	TRUE	[u'Fiction Subjects']	Crown Publishing Group	8/26/14	432	4881	4
Wild: From Lost to Found on the Pacific Crest Trail	Cheryl Strayed	9.71	TRUE	TRUE	TRUE	"[u""Women's Biography"", u'Outdoor & Adventure Sports', u""Women's Biography""]"	Knopf Doubleday Publishing Group	3/26/13	336	339	4
Wild: From Lost to Found on the Pacific Crest Trail	Cheryl Strayed	9.71	TRUE	TRUE	TRUE	"[u""Women's Biography"", u'Outdoor & Adventure Sports', u""Women's Biography""]"	Knopf Doubleday Publishing Group	3/26/13	336	339	4
